user_id,item_id
0,2732 1811 472 2256 2342 1001 331 2688 2630 3298
1,3529 3013 463 584 1699 1039 208 2908 106 36
2,640 1831 2210 1956 1039 2603 2342 2630 3694 2331
3,3022 2194 2342 1617 3327 3435 3529 802 3005 2603
4,1583 1337 2297 2646 2402 1039 3022 1030 1560 2732
5,472 1315 2054 883 530 3013 1223 3350 3367 406
6,472 2528 3677 2732 2402 2636 2646 467 2281 2256
7,2210 584 476 2630 463 2646 1956 3238 1746 331
8,1240 2587 2119 2335 663 1070 1848 3227 3338 59
9,3013 36 1560 2297 1505 989 1592 2664 2054 124
10,472 1543 2862 1316 3013 1223 3529 2402 1811 124
11,584 640 1956 1039 1831 2757 2210 2688 169 2980
12,472 1315 3423 132 1859 1543 2528 2402 1223 3013
13,584 2980 2732 640 2626 2646 472 1956 2210 183
14,2980 584 1831 3022 1811 640 1956 2297 1583 2732
15,3013 1223 640 3529 1583 36 1316 1831 3409 2054
16,2054 1376 3059 2732 3692 3677 2646 3142 2370 3474
17,1831 3529 472 36 2732 2342 2745 1030 1337 1746
18,3022 2297 584 2732 1583 1811 2256 1560 1831 1039
19,132 1543 1859 1279 2828 3269 36 2054 2933 2224
20,2370 467 863 3474 1887 1371 1615 2646 790 2774
21,1699 1166 791 781 549 601 636 2908 1801 3544
22,1811 2402 2980 3677 3059 2646 1315 1001 790 2528
23,472 2402 922 1315 3059 1102 2673 1379 2256 132
24,1316 3529 989 3013 124 2402 1583 1337 2370 1615
25,1039 2732 584 1223 3367 166 1184 3597 530 169
26,3409 3153 3423 36 2564 1560 124 2054 989 790
27,1583 472 3013 1223 3529 3409 1316 2297 640 36
28,584 3022 3409 3529 2297 36 2603 463 1316 1543
29,2564 2862 3013 1560 3272 1223 2617 1543 3529 3365
30,3022 584 331 169 1086 3677 183 2480 2342 1471
31,1039 1583 3022 3013 2646 472 3418 1279 640 1505
32,472 1315 1583 1223 3022 1039 2646 3013 2054 1615
33,640 584 1039 3694 2297 3529 208 463 36 2342
34,1376 3692 2528 1102 1379 3059 3131 1859 3418 401
35,3013 1223 1543 2402 1583 2862 2054 3409 2732 1315
36,472 1316 1543 3529 2402 1223 3013 2862 1615 1560
37,1315 2528 2281 3367 3402 1887 1848 467 452 2732
38,584 1831 2757 1956 2468 1546 2603 1078 1086 543
39,2980 1811 2297 1831 584 3022 1956 1583 472 640
40,169 1615 1811 472 1560 1543 3367 2862 2054 1223
41,1583 640 2297 584 1831 2210 1039 2603 463 2757
42,3022 640 1583 584 2980 1831 2297 2732 1039 2210
43,584 2630 3529 1831 2501 1505 3053 3473 2128 214
44,1039 3022 1583 2297 2646 472 36 2054 640 3013
45,1583 2297 1039 584 3418 3409 169 36 2603 2732
46,584 2297 1956 169 2980 1039 1831 2732 2646 1583
47,472 3013 3409 1223 3418 3151 2557 3131 618 2474
48,472 3013 36 3423 1279 1583 3409 1543 1505 1638
49,3022 584 2297 1583 2646 169 2980 1831 640 1315
50,204 1583 512 1811 1374 2626 3677 2119 2999 1711
51,1811 1583 472 2297 3529 3022 2862 463 512 584
52,2210 169 2342 2646 3677 2331 2688 2745 3049 1711
53,3409 3022 618 1279 1583 573 2784 2297 2862 2688
54,3529 476 2646 463 1337 2297 246 3013 2980 3694
55,640 2603 3418 2732 1505 2210 2510 476 2630 2862
56,3423 1592 3424 69 2664 1615 707 1858 1030 2732
57,2688 320 3659 3537 512 1543 2835 2006 2290 1360
58,2862 463 512 1543 472 1223 1916 1560 584 1831
59,2528 573 169 2474 1057 3409 1376 2402 2828 3142
60,3409 1543 1316 3153 772 3529 2534 796 2474 1583
61,1956 3049 2757 16 3234 649 283 212 169 2050
62,3382 2840 2256 2409 1166 3110 853 791 335 1831
63,584 2297 1811 640 3529 1956 2732 2980 2256 1039
64,3409 1560 1223 3013 169 2862 3382 1354 2688 1543
65,2630 398 3238 2603 119 543 1337 1617 3262 1044
66,1831 3022 2297 1039 1583 2210 2980 2603 3238 3694
67,1223 3529 3153 3409 3402 2980 2297 1304 2564 3656
68,472 3022 1583 2297 2732 1831 1039 2256 3529 169
69,2068 1811 474 2054 2281 2836 1615 3544 452 3349
70,2603 3022 472 2745 36 1316 331 3238 2510 1030
71,1543 1315 3367 3013 1615 3600 2076 1560 3402 69
72,3298 1615 452 1184 2528 1848 2119 169 220 1711
73,472 3692 922 1315 2054 37 2528 1658 2664 790
74,1543 1316 2862 1223 2688 2256 1592 796 124 2564
75,584 208 1039 3022 2980 293 331 1211 2186 1490
76,2256 1811 3022 2980 2281 3382 1956 584 2541 1711
77,208 3694 2342 3238 2745 3529 1746 463 1354 293
78,2862 989 463 124 1916 1583 1337 382 2076 2387
79,3022 584 1216 2470 3349 472 1510 105 2646 246
80,1039 1337 476 2366 1615 1592 3317 331 2603 2067
81,1315 3116 1057 2646 3677 1240 2402 1678 3059 2732
82,2054 3116 1315 1887 3402 863 1811 1615 790 3474
83,472 2402 2054 1376 1315 2256 3692 3142 790 1615
84,640 3529 36 2630 2210 2603 3418 1831 463 2817
85,472 3013 2862 124 989 1560 3529 3153 1615 790
86,472 2054 1315 2402 1057 3402 863 1887 3116 37
87,204 2335 1186 2119 1240 2281 2587 3022 1808 512
88,3409 2402 3269 1592 463 790 796 2387 69 1615
89,204 3298 2281 1956 1583 584 169 1711 2980 1240
90,1315 2054 1543 790 1560 1316 3116 1615 1858 1057
91,1543 2534 2557 1592 22 1505 124 2474 512 320
92,472 2732 640 584 2980 1039 3013 169 2210 2646
93,472 1316 3013 1583 1916 1615 2402 2076 1337 528
94,3022 640 584 1039 1831 2980 472 2732 3529 2210
95,2256 2745 2603 3382 2980 2757 331 1560 3529 3238
96,472 2732 3022 2297 2256 2054 1811 2402 169 1615
